Hotel,Free parking,Free Wi-Fi,Restaurant,Free breakfast,Pool,Air-Conditioned,Spa,Rating_Normalized,Price_Normalized,Is_5_star,Is_4_star,Is_3_star,Is_2_star,Is_1_star,Is_Guest_House,Is_Bed_Breakfast,Is_hotel,Is_hostel,Is_lodge,Price
Debre Damo Hotel | haya hulet | ደብረ ዳሞ ሆቴል | ሀያ ሁለት,1,1,0,0,0,1,0,0.3181818182,0.8947204518,0,1,0,0,0,0,0,0,0,0,"Birr6,704.00"
"Debre Damo Hotel, Addis Ababa",0,0,0,0,0,0,0,0.4090909091,0.8938069633,0,0,0,0,0,0,0,1,0,0,"Birr6,748.00"
Denver Boutique Hotel,1,1,0,1,0,0,1,0.5909090909,0.9014678099,0,0,1,0,0,0,0,0,0,0,"Birr6,379.00"
Dreamliner Hotel,0,0,0,0,0,0,0,0.4545454545,0.8867481886,0,1,0,0,0,0,0,0,0,0,"Birr7,088.00"
Eliana Hotel | Piazza,1,1,0,1,0,0,1,0.4545454545,0.8775510204,0,1,0,0,0,0,0,0,0,0,"Birr7,531.00"
Elilly Hotel,1,1,0,1,0,1,0,0.5909090909,0.778541325,1,0,0,0,0,0,0,0,0,0,"Birr12,300.00"
ELMOS HOTEL | Meskel Flower | ኢልሞስ ሆቴል | መስቀል ፍላወር,1,1,0,1,0,0,1,0.5,0.9311561858,0,1,0,0,0,0,0,0,0,0,"Birr4,949.00"
Ethiopian Skylight Hotel,1,1,0,1,0,0,0,0.8636363636,0.5273319908,0,1,0,0,0,0,0,0,0,0,"Birr24,400.00"
FBK Guest House,0,0,0,0,0,0,0,1,0.9161666701,0,0,0,0,0,0,1,0,0,0,"Birr5,671.00"
Fountain Hotel & SPA,1,1,0,1,0,0,0,0.4090909091,0.9515228268,0,0,0,0,0,0,0,1,0,0,"Birr3,968.00"
Friendship International Hotel,1,1,0,1,0,0,0,0.4545454545,0.8675234081,0,1,0,0,0,0,0,0,0,0,"Birr8,014.00"
Garden Hills Hotel | ጋርደን ሂልስ ሆቴል,1,1,0,0,1,0,1,0.7272727273,0.8771773206,0,0,0,0,0,0,0,1,0,0,"Birr7,549.00"
Getfam Hotel,0,0,0,0,0,0,0,0.5909090909,0.8373367658,0,1,0,0,0,0,0,0,0,0,"Birr9,468.00"
Ghion Hotel | Stadium,1,0,0,1,1,0,1,0.4545454545,0.9014678099,0,1,0,0,0,0,0,0,0,0,"Birr6,379.00"
GLAM HOTEL,1,1,1,0,0,0,0,0.8636363636,0.9308862914,0,0,1,0,0,0,0,0,0,0,"Birr4,962.00"
Guzara Hotel Addis,0,1,0,1,0,0,0,0.6818181818,0.9181182137,0,0,1,0,0,0,0,0,0,0,"Birr5,577.00"
Haile Grand Addis Ababa,1,1,0,1,0,1,0,0.7727272727,0.7224863496,1,0,0,0,0,0,0,0,0,0,"Birr15,000.00"
Hammer Luxury Guesthouse,1,1,0,1,0,0,1,0.9090909091,0.9120559719,0,0,0,0,0,0,1,0,0,0,"Birr5,869.00"
Harmony Hotel,0,1,0,0,0,0,0,0.5,0.8591982062,0,1,0,0,0,0,0,0,0,0,"Birr8,415.00"
Hayes Hotel Addis Ababa,1,1,0,1,0,0,0,0.7272727273,0.8786305977,0,0,0,0,0,0,0,1,0,0,"Birr7,479.00"
Hera Addis Hotel | Lancha | ሄራ አዲስ ሆቴል | ላንቻ,1,0,0,1,1,0,1,0.1818181818,0.9286440924,0,0,1,0,0,0,0,0,0,0,"Birr5,070.00"
Holiday Guest House,0,1,0,1,0,0,0,0.7727272727,0.9542217701,0,0,0,0,0,1,0,0,0,0,"Birr3,838.00"
Holiday Hotel | Hayahulet,0,0,0,0,0,0,0,0.4545454545,0.9235368613,0,0,1,0,0,0,0,0,0,0,"Birr5,316.00"
Hotel Lobelia,1,1,0,1,0,1,0,0.5454545455,0.9399173708,0,1,0,0,0,0,0,0,0,0,"Birr4,527.00"
Hyatt Regency Addis Ababa,1,1,0,1,0,0,1,0.7272727273,0.4131459298,1,0,0,0,0,0,0,0,0,0,"Birr29,900.00"
Inter Luxury Hotel,1,1,0,1,0,1,0,0.6363636364,0.705877468,0,1,0,0,0,0,0,0,0,0,"Birr15,800.00"
Ivy Hotel Addis Ababa,0,0,0,0,0,0,0,0.5454545455,0.8993916997,0,1,0,0,0,0,0,0,0,0,"Birr6,479.00"
Jano Hotel,1,0,0,1,1,0,1,0.9090909091,0.8905474703,0,0,0,0,0,0,0,1,0,0,"Birr6,905.00"
Kagnew Pension,0,0,0,0,0,0,0,0.5454545455,0.9809205473,0,0,0,0,1,0,0,0,0,0,"Birr2,552.00"
Kora Hotel Suites,1,1,0,0,0,0,0,0.8181818182,0.788921876,0,0,0,0,0,0,0,1,0,0,"Birr11,800.00"
LA Hotel & Spa | 24 | ኤልኤ ሆቴል እና ስፓ | 24,0,1,0,1,0,0,0,0.5454545455,0.8661739365,0,0,0,0,0,0,0,1,0,0,"Birr8,079.00"
Libanos Pension | Hayahulet | ሊባኖስ ሆቴል | ሃያሁለት,1,1,0,1,0,1,0,0.5454545455,0.9544293811,0,0,0,1,0,0,0,0,0,0,"Birr3,828.00"
Mad Vervet Hostel - Addis,0,0,0,0,0,0,0,0.7272727273,0.9750451554,0,0,0,0,0,0,0,0,1,0,"Birr2,835.00"
Marcen Addis Hotel 22 around Chichiniya,1,1,0,0,0,0,0,0.6818181818,0.914713393,0,0,0,0,0,0,0,1,0,0,"Birr5,741.00"
Mimi Guest House,1,1,0,1,0,0,0,0.4090909091,0.9505678161,0,0,0,0,0,1,0,0,0,0,"Birr4,014.00"
Momona Hotel,0,0,0,0,0,0,0,0.5,0.8478418834,0,0,1,0,0,0,0,0,0,0,"Birr8,962.00"
Nemudat Hotel,1,1,0,1,0,1,1,1,0.9608030394,0,0,0,0,0,0,0,1,0,0,"Birr3,521.00"
NEW DAY HOTEL | Hayahulet | ኒው ዴይ ሆቴል | ሃያሁለት,1,1,0,0,1,0,0,0.5,0.9014678099,0,0,1,0,0,0,0,0,0,0,"Birr6,379.00"
North Addis International Hotel | Chilot | ኖርዝ አዲስ ኢንተርናሽናል ሆቴል | ችሎት,0,0,0,0,0,0,0,0.5454545455,0.922644134,0,0,1,0,0,0,0,0,0,0,"Birr5,359.00"
Oasis Hotel Apartment | haya hulet | ኦዌሲስ ሆቴል አፓርታማ |ሃያ ሁለት,1,0,0,1,1,0,1,0.5,0.9319243465,0,1,0,0,0,0,0,0,0,0,"Birr4,912.00"
Omna Addis Hotel | Meskel Flower,1,1,0,0,0,0,0,0.5,0.9041044699,0,0,0,0,0,0,0,1,0,0,"Birr6,252.00"
Park Lane Addis Hotel,0,0,0,0,0,0,0,0.8181818182,0.9057238358,0,0,1,0,0,0,0,0,0,0,"Birr6,174.00"
Platinum Hotel,1,0,0,1,1,0,1,0.7272727273,0.9235368613,0,0,0,0,0,0,0,1,0,0,"Birr5,316.00"
Presidential Hotel | Atlas | ፕሬዝደንሻል ሆቴል | አትላስ,1,1,0,1,0,0,1,0.1363636364,0.8749974049,0,1,0,0,0,0,0,0,0,0,"Birr7,654.00"
Ramada Addis Hotel,1,0,0,1,1,0,1,0.6363636364,0.6560508232,0,1,0,0,0,0,0,0,0,0,"Birr18,200.00"
Samantha guest house,1,1,0,0,0,0,0,0.6818181818,0.9866713725,0,0,0,0,0,0,0,1,0,0,"Birr2,275.00"
Sapphire Addis Hotel,1,1,0,1,0,1,0,0.6363636364,0.8242157494,0,1,0,0,0,0,0,0,0,0,"Birr10,100.00"
Semien Hotel,1,0,0,1,1,0,1,0.5909090909,0.8852741504,0,1,0,0,0,0,0,0,0,0,"Birr7,159.00"
Shalla Guest House & Wellness Center | Bole Atlas | ሻላ እንግዳ ማረፍያ | ቦሌ አትላስ,1,1,0,1,0,0,1,0.6818181818,0.9663462537,0,0,0,0,0,1,0,0,0,0,"Birr3,254.00"
"Sheraton Addis, a Luxury Collection Hotel, Addis Ababa",1,1,0,1,0,0,0,0.8181818182,0,1,0,0,0,0,0,0,0,0,0,"Birr49,800.00"
Sidra International Hotel,1,1,0,1,0,0,1,0.5909090909,0.8356135944,0,1,0,0,0,0,0,0,0,0,"Birr9,551.00"
SOCIAL HOUSE ADDIS ABABA | ሶሻል ሀውስ አዲስ አበባ,1,0,0,1,1,0,1,0.6818181818,0.9416405423,0,0,0,0,0,0,1,0,0,0,"Birr4,444.00"
Soramba Hotel and Wellness Center | Piazza | ሶራምባ ሆቴል | ፒያሳ,0,0,0,0,0,0,0,0.3636363636,0.9058484024,0,0,1,0,0,0,0,0,0,0,"Birr6,168.00"
South Gate Plaza & Hotel apartment,1,1,0,1,0,0,0,0.8636363636,0.925301555,0,0,0,0,0,0,0,1,0,0,"Birr5,231.00"
Sowirad Hotel,0,1,0,1,0,0,0,0.2727272727,0.8907135591,0,0,0,0,0,0,0,1,0,0,"Birr6,897.00"
Stayeasy Hotel | Haya Hulet | ስቴ ኢዚ ሆቴል | ሃያ ሁለት,1,0,0,1,1,0,1,0.5909090909,0.9014055266,0,0,1,0,0,0,0,0,0,0,"Birr6,382.00"
Sun view catering and Events,0,0,0,0,0,0,0,0.9090909091,0.9286440924,0,0,0,0,0,0,0,1,0,0,"Birr5,070.00"
Swiss Inn Nexus Hotel | Gerji | ስዊስ ኢን ኔክሰስ ሆቴል | ገርጂ,0,1,0,1,0,0,1,0.5909090909,0.8301949467,0,1,0,0,0,0,0,0,0,0,"Birr9,812.00"
The Residence Hotel & Apartments| Olympia | ዘ ሬዚደንስ ሆቴል አፓርትመንት | ኦሎምፒያ,0,1,0,0,0,0,0,0.5909090909,0.8749766438,0,0,0,0,0,0,0,1,0,0,"Birr7,655.00"
Tolip Olympia Hotel,1,1,0,0,1,0,1,0.5454545455,0.8694126684,0,1,0,0,0,0,0,0,0,0,"Birr7,923.00"
Trinity Hotel Addis Ababa,0,0,0,0,0,0,0,0.4090909091,0.8690804908,0,0,1,0,0,0,0,0,0,0,"Birr7,939.00"
Triple-e Hotel and Spa,0,1,1,0,0,0,0,0.5454545455,0.8285340586,0,0,0,0,0,0,0,1,0,0,"Birr9,892.00"
Venetian Hotel,1,1,0,0,1,0,1,0.6363636364,0.9467892956,0,0,0,1,0,0,0,0,0,0,"Birr4,196.00"
Vibes Hotel and Spa,0,1,0,1,0,1,1,0.5909090909,0.869122013,0,1,0,0,0,0,0,0,0,0,"Birr7,937.00"
Washington Hotel | Bole Atlas | ዋሽንግተን ሆቴል | ቦሌ አትላስ,0,0,0,0,0,0,0,0.3636363636,0.8503332157,0,1,0,0,0,0,0,0,0,0,"Birr8,842.00"
Yeafoli Hotel,0,1,1,0,0,0,0,0.5454545455,0.9041044699,0,0,1,0,0,0,0,0,0,0,"Birr6,252.00"
Yomi Hotel,1,1,0,0,0,0,0,0.3181818182,0.9407893371,0,0,0,0,0,0,0,1,0,0,"Birr4,485.00"
Zola International HOTEL,1,0,0,1,1,0,1,0.4545454545,0.8360288164,0,1,0,0,0,0,0,0,0,0,"Birr9,531.00"
